"","X","lam","par","dev","mis","sig_coef","sig_grp","fpr","tpr","auc"
"1","colon_lasso",0.0641914166669807,NA,0.937722531532362,"6/31",16,NA,"4/11","18/20",0.936363636363636
"2","colon_enet_mod1",0.0852635588815189,0.95,0.944918932568557,"6/31",19,NA,"4/11","18/20",0.945454545454545
"3","colon_enet_mod2",0.168895973613461,0.8,0.964901650849781,"7/31",15,NA,"5/11","18/20",0.922727272727273
"4","colon_enet_mod3",0.235917443376725,0.6,1.00290535339743,"7/31",18,NA,"5/11","18/20",0.913636363636364
"5","colon_enet_mod4",0.370726245042921,0.4,1.04229190104376,"7/31",20,NA,"5/11","18/20",0.913636363636364
"6","colon_enet_mod5",0.369022651738799,0.2,1.0234566674726,"5/31",63,NA,"3/11","18/20",0.918181818181818
"7","colon_enet_mod6",1.01741199881424,0.05,1.01827911103013,"5/31",230,NA,"3/11","18/20",0.890909090909091
"8","colon_pcl_no_mod1",8.74914753485952,0.95,0.561305032689799,"5/31",30,NA,"3/11","18/20",0.85
"9","colon_pcl_no_mod2",8.74914753485952,0.9,0.57599914142674,"5/31",34,NA,"3/11","18/20",0.827272727272727
"10","colon_pcl_no_mod3",8.74914753485952,0.75,0.603131540592148,"5/31",34,NA,"3/11","18/20",0.795454545454545
"11","colon_pcl_no_mod4",8.74914753485952,0.5,0.628083378119766,"8/31",35,NA,"7/11","19/20",0.781818181818182
"12","colon_pcl_no_mod5",8.74914753485952,0.25,0.643621521852285,"9/31",37,NA,"9/11","20/20",0.672727272727273
"13","colon_pcl_no_mod6",8.74914753485952,0.1,0.650773456102681,"10/31",46,NA,"10/11","20/20",0.418181818181818
"14","colon_glas_k",0.0056215692959654,NA,0.489708288705224,"12/31",49,3,"7/11","15/20",0.695454545454545
"15","colon_sgl_k_mod1",0.0396258252457192,0.95,0.87765129601408,"11/31",3,1,"11/11","20/20",0.722727272727273
"16","colon_sgl_k_mod2",0.0281825021347294,0.8,0.867891431740492,"8/31",7,1,"7/11","19/20",0.75
"17","colon_sgl_k_mod3",0.0242565930192435,0.6,0.855758758977327,"8/31",26,2,"7/11","19/20",0.727272727272727
"18","colon_sgl_k_mod4",0.0214939980688188,0.4,0.8533137447595,"7/31",29,2,"6/11","19/20",0.745454545454545
"19","colon_sgl_k_mod5",0.0200199793305463,0.2,0.853539779498351,"7/31",32,2,"6/11","19/20",0.75
"20","colon_sgl_k_mod6",0.0195857522524823,0.05,0.853782682566996,"7/31",35,2,"6/11","19/20",0.75
"21","colon_cmcp_k_mod1",0.0837858081337243,30,1.00835604722194,"6/31",11,4,"4/11","18/20",0.931818181818182
"22","colon_pcl_k_mod1",9.1657447809997,0.95,0.526924492581272,"4/31",30,9,"2/11","18/20",0.922727272727273
"23","colon_pcl_k_mod2",9.60217861862493,0.9,0.525911564402656,"4/31",30,9,"2/11","18/20",0.918181818181818
"24","colon_pcl_k_mod3",27.990860192017,0.75,0.526515577418639,"5/31",23,9,"3/11","18/20",0.890909090909091
"25","colon_pcl_k_mod4",27.990860192017,0.5,0.525651600237672,"5/31",26,9,"3/11","18/20",0.895454545454546
"26","colon_pcl_k_mod5",35.3204595962354,0.25,0.525418593175545,"5/31",30,9,"3/11","18/20",0.890909090909091
"27","colon_pcl_k_mod6",35.3204595962354,0.1,0.525826543293255,"5/31",40,9,"3/11","18/20",0.9
"28","colon_glas_h",0.0620627887689039,NA,0.987228117110292,"8/31",20,1,"4/11","16/20",0.622727272727273
"29","colon_sgl_h_mod1",0.0384294694277447,0.95,0.868581488907213,"11/31",21,1,"11/11","20/20",0.786363636363636
"30","colon_sgl_h_mod2",0.0282208601191485,0.8,0.866252602547685,"11/31",108,1,"11/11","20/20",0.790909090909091
"31","colon_sgl_h_mod3",0.0238052851997896,0.6,0.86399677173812,"11/31",226,1,"11/11","20/20",0.809090909090909
"32","colon_sgl_h_mod4",0.0214515950675855,0.4,0.863495511619514,"11/31",319,1,"11/11","20/20",0.818181818181818
"33","colon_sgl_h_mod5",0.0200704858783605,0.2,0.863110005393204,"11/31",393,1,"11/11","20/20",0.818181818181818
"34","colon_sgl_h_mod6",0.019390226778372,0.05,0.863100598775306,"11/31",461,1,"11/11","20/20",0.813636363636364
"35","colon_cmcp_h_mod1",0.0812884318838458,30,0.994608238122744,"6/31",11,4,"4/11","18/20",0.931818181818182
"36","colon_pcl_h_mod1",163.943050859958,0.95,0.547528149999354,"3/31",7,6,"2/11","19/20",0.818181818181818
"37","colon_pcl_h_mod2",179.927295929968,0.9,0.551718040458035,"5/31",7,6,"4/11","19/20",0.809090909090909
"38","colon_pcl_h_mod3",197.469985161644,0.75,0.5548625441882,"5/31",7,6,"4/11","19/20",0.8
"39","colon_pcl_h_mod4",206.87266715848,0.5,0.556925543930577,"5/31",10,6,"4/11","19/20",0.8
"40","colon_pcl_h_mod5",197.469985161644,0.25,0.55620510795705,"6/31",16,6,"5/11","19/20",0.790909090909091
"41","colon_pcl_h_mod6",197.469985161644,0.1,0.555461488417619,"5/31",28,6,"4/11","19/20",0.822727272727273
