"","lam","par","dev","mis","sig_coef","sig_grp","fpr","tpr","auc"
"leuk_lasso",0.0040727044918034,NA,0.241428890927149,"5/36",14,NA,"5/14","22/22",0.987012987012987
"leuk_enet_mod1",0.00428705735979305,0.95,0.1041324271007,"4/36",17,NA,"4/14","22/22",0.993506493506493
"leuk_enet_mod2",0.00509088061475425,0.8,0.0833966591888787,"3/36",28,NA,"3/14","22/22",1
"leuk_enet_mod3",0.00678784081967234,0.6,0.0926918677279249,"4/36",51,NA,"4/14","22/22",1
"leuk_enet_mod4",0.0101817612295085,0.4,0.108436456966204,"3/36",88,NA,"3/14","22/22",1
"leuk_enet_mod5",0.020363522459017,0.2,0.118378573750997,"3/36",200,NA,"3/14","22/22",1
"leuk_enet_mod6",0.081454089836068,0.05,0.150242811530352,"3/36",641,NA,"3/14","22/22",1
"leuk_pcl_no_mod1",0.00547850124165123,0.95,0.465012830724083,"3/36",41,NA,"3/14","22/22",0.977272727272727
"leuk_pcl_no_mod2",0.00547850124165123,0.9,0.47313184016089,"3/36",45,NA,"3/14","22/22",0.964285714285714
"leuk_pcl_no_mod3",0.00547850124165123,0.75,0.490956151546609,"3/36",47,NA,"3/14","22/22",0.957792207792208
"leuk_pcl_no_mod4",0.00547850124165123,0.5,0.514833460277549,"3/36",46,NA,"3/14","22/22",0.944805194805195
"leuk_pcl_no_mod5",0.00547850124165123,0.25,0.536031456931452,"5/36",57,NA,"5/14","22/22",0.941558441558442
"leuk_pcl_no_mod6",0.00547850124165123,0.1,0.547877012791406,"8/36",97,NA,"8/14","22/22",0.935064935064935
"leuk_glas_k",0.0778628314516652,NA,1.23918803081872,"14/36",1,0,"14/14","22/22",0.5
"leuk_sgl_k_mod1",0.0456606090485656,0.95,0.730339151729696,"13/36",6,1,"13/14","22/22",0.993506493506493
"leuk_sgl_k_mod2",0.0339168045208731,0.8,0.733831891141907,"4/36",29,1,"4/14","22/22",0.993506493506493
"leuk_sgl_k_mod3",0.028210040035769,0.6,0.732989917813615,"4/36",41,1,"4/14","22/22",0.993506493506493
"leuk_sgl_k_mod4",0.0253234664862845,0.4,0.73231714592612,"3/36",47,1,"3/14","22/22",0.99025974025974
"leuk_sgl_k_mod5",0.0235683873454624,0.2,0.732243638622944,"3/36",52,1,"3/14","22/22",0.99025974025974
"leuk_sgl_k_mod6",0.0226652284115998,0.05,0.732270480202919,"4/36",52,1,"3/14","21/22",0.99025974025974
"leuk_cmcp_k_mod1",0.110863715596822,30,0.671088193546564,"6/36",6,2,"6/14","22/22",0.964285714285714
"leuk_pcl_k_mod1",0.00547850124165123,0.95,0.443194719767315,"2/36",43,19,"2/14","22/22",0.993506493506493
"leuk_pcl_k_mod2",0.00547850124165123,0.9,0.442472215943709,"2/36",76,19,"2/14","22/22",0.993506493506493
"leuk_pcl_k_mod3",0.00547850124165123,0.75,0.443113082449432,"2/36",142,19,"2/14","22/22",0.993506493506493
"leuk_pcl_k_mod4",0.00547850124165123,0.5,0.444076263037981,"2/36",155,19,"2/14","22/22",0.996753246753247
"leuk_pcl_k_mod5",0.00547850124165123,0.25,0.444752941306026,"2/36",175,19,"2/14","22/22",0.996753246753247
"leuk_pcl_k_mod6",0.00547850124165123,0.1,0.445805631328676,"2/36",210,19,"2/14","22/22",0.996753246753247
"leuk_glas_h",0.077862831451665,NA,1.23919296591887,"14/36",1,0,"14/14","22/22",0.5
"leuk_sgl_h_mod1",0.0424733006978678,0.95,0.733384851507907,"14/36",74,1,"14/14","22/22",0.993506493506493
"leuk_sgl_h_mod2",0.0316676205963203,0.8,0.731998215590957,"14/36",310,1,"14/14","22/22",0.996753246753247
"leuk_sgl_h_mod3",0.0263378000998443,0.6,0.731462434790025,"14/36",535,1,"14/14","22/22",0.993506493506493
"leuk_sgl_h_mod4",0.0236300983545032,0.4,0.731323125636863,"14/36",772,1,"14/14","22/22",0.99025974025974
"leuk_sgl_h_mod5",0.0220097101503004,0.2,0.731440937041647,"14/36",1011,1,"14/14","22/22",0.983766233766234
"leuk_sgl_h_mod6",0.0211877099933645,0.05,0.731506578717543,"14/36",1161,1,"14/14","22/22",0.983766233766234
"leuk_cmcp_h_mod1",0.110863715596822,30,0.671159515149077,"6/36",7,2,"6/14","22/22",0.967532467532468
"leuk_pcl_h_mod1",0.00547850124165123,0.95,0.438606872168613,"2/36",46,5,"2/14","22/22",1
"leuk_pcl_h_mod2",0.00547850124165123,0.9,0.438958805225643,"2/36",70,5,"2/14","22/22",1
"leuk_pcl_h_mod3",0.00547850124165123,0.75,0.438859916267185,"2/36",86,5,"2/14","22/22",1
"leuk_pcl_h_mod4",0.00547850124165123,0.5,0.439385754470008,"2/36",102,5,"2/14","22/22",1
"leuk_pcl_h_mod5",0.00547850124165123,0.25,0.440618013720208,"2/36",120,5,"2/14","22/22",1
"leuk_pcl_h_mod6",0.00547850124165123,0.1,0.441613139836494,"2/36",125,5,"2/14","22/22",0.996753246753247
